Flight ID,Demand Type,Runway,WVC,Scheduled,Averaged Actual,Minimum Actual,Maximum Actual,Average Delay [s],,,Flow,Delay,AvDelay,Demand,,
B763,ARRIVAL,27R,H,1:09:06:05,1:09:10:53,1:09:10:53,1:09:10:53,288,119165,119453,37,288,208.27027027027,36,-1,130
B744,ARRIVAL,27R,H,1:09:09:02,1:09:12:43,1:09:12:43,1:09:12:43,221,119342,119563,38,221,204.473684210526,37,-1,131
A320,ARRIVAL,27R,LM,1:09:11:16,1:09:14:56,1:09:14:56,1:09:14:56,220,119476,119696,38,220,204.184210526316,38,0,132
A321,ARRIVAL,27R,LM,1:09:12:30,1:09:16:14,1:09:16:14,1:09:16:14,224,119550,119774,38,224,203.263157894737,38,0,133
A319,ARRIVAL,27R,LM,1:09:14:24,1:09:17:32,1:09:17:32,1:09:17:32,188,119664,119852,38,188,203.710526315789,38,0,134
B772,ARRIVAL,27R,H,1:09:15:06,1:09:18:48,1:09:18:48,1:09:18:48,222,119706,119928,37,222,204.135135135135,38,1,135
B772,ARRIVAL,27R,H,1:09:17:11,1:09:20:38,1:09:20:38,1:09:20:38,207,119831,120038,37,207,205.351351351351,38,1,136
A320,ARRIVAL,27R,LM,1:09:19:16,1:09:22:51,1:09:22:51,1:09:22:51,215,119956,120171,38,215,208.552631578947,39,1,137
B738,ARRIVAL,27R,LM,1:09:20:24,1:09:24:09,1:09:24:09,1:09:24:09,225,120024,120249,38,225,210.710526315789,39,1,138
A319,ARRIVAL,27R,LM,1:09:22:29,1:09:25:27,1:09:25:27,1:09:25:27,178,120149,120327,38,178,212.578947368421,40,2,139
A321,ARRIVAL,27R,LM,1:09:23:10,1:09:26:45,1:09:26:45,1:09:26:45,215,120190,120405,38,215,214.894736842105,39,1,140
A320,ARRIVAL,27R,LM,1:09:24:21,1:09:28:03,1:09:28:03,1:09:28:03,222,120261,120483,38,222,217.131578947368,39,1,141
B772,ARRIVAL,27R,H,1:09:26:28,1:09:29:19,1:09:29:19,1:09:29:19,171,120388,120559,38,171,218.263157894737,40,2,142
B772,ARRIVAL,27R,H,1:09:28:00,1:09:31:09,1:09:31:09,1:09:31:09,189,120480,120669,38,189,221,39,1,143
A319,ARRIVAL,27R,LM,1:09:30:15,1:09:33:22,1:09:33:22,1:09:33:22,187,120615,120802,38,187,224.368421052632,40,2,144
E190,ARRIVAL,27R,LM,1:09:31:16,1:09:34:40,1:09:34:40,1:09:34:40,204,120676,120880,38,204,228.026315789474,39,1,145
B752,ARRIVAL,27R,H,1:09:32:30,1:09:35:56,1:09:35:56,1:09:35:56,206,120750,120956,38,206,230.447368421053,39,1,146
B737,ARRIVAL,27R,LM,1:09:34:35,1:09:38:09,1:09:38:09,1:09:38:09,214,120875,121089,39,214,232.717948717949,39,0,147
A320,ARRIVAL,27R,LM,1:09:36:17,1:09:39:27,1:09:39:27,1:09:39:27,190,120977,121167,38,190,233.210526315789,39,1,148
A319,ARRIVAL,27R,LM,1:09:37:15,1:09:40:45,1:09:40:45,1:09:40:45,210,121035,121245,38,210,235,39,1,149
A320,ARRIVAL,27R,LM,1:09:38:18,1:09:42:03,1:09:42:03,1:09:42:03,225,121098,121323,38,225,236.157894736842,38,0,150
B772,ARRIVAL,27R,H,1:09:40:00,1:09:43:19,1:09:43:19,1:09:43:19,199,121200,121399,38,199,236.5,38,0,151
B772,ARRIVAL,27R,H,1:09:41:58,1:09:45:09,1:09:45:09,1:09:45:09,191,121318,121509,38,191,237.289473684211,38,0,152
B772,ARRIVAL,27R,H,1:09:44:14,1:09:46:59,1:09:46:59,1:09:46:59,165,121454,121619,37,165,238.540540540541,38,1,153
A320,ARRIVAL,27R,LM,1:09:46:11,1:09:49:12,1:09:49:12,1:09:49:12,181,121571,121752,38,181,240.552631578947,39,1,154
B763,ARRIVAL,27R,H,1:09:46:57,1:09:50:28,1:09:50:28,1:09:50:28,211,121617,121828,38,211,242.552631578947,38,0,155
B77L,ARRIVAL,27R,H,1:09:48:55,1:09:52:18,1:09:52:18,1:09:52:18,203,121735,121938,38,203,243.052631578947,39,1,156
B764,ARRIVAL,27R,H,1:09:50:44,1:09:54:08,1:09:54:08,1:09:54:08,204,121844,122048,39,204,244.846153846154,39,0,157
A320,ARRIVAL,27R,LM,1:09:53:01,1:09:56:21,1:09:56:21,1:09:56:21,200,121981,122181,39,200,246.307692307692,39,0,158
A320,ARRIVAL,27R,LM,1:09:54:12,1:09:57:39,1:09:57:39,1:09:57:39,207,122052,122259,38,207,247.526315789474,39,1,159
A343,ARRIVAL,27R,H,1:09:55:16,1:09:58:55,1:09:58:55,1:09:58:55,219,122116,122335,38,219,248.684210526316,39,1,160
B763,ARRIVAL,27R,H,1:09:56:46,1:10:00:45,1:10:00:45,1:10:00:45,239,122206,122445,39,239,248.769230769231,39,0,161
B738,ARRIVAL,27R,LM,1:09:59:14,1:10:02:58,1:10:02:58,1:10:02:58,224,122354,122578,40,224,249.3,40,0,162
B763,ARRIVAL,27R,H,1:10:00:11,1:10:04:14,1:10:04:14,1:10:04:14,243,122411,122654,40,243,249.65,39,-1,163
A332,ARRIVAL,27R,H,1:10:02:16,1:10:06:04,1:10:06:04,1:10:06:04,228,122536,122764,40,228,249.1,40,0,164
A319,ARRIVAL,27R,LM,1:10:05:17,1:10:08:17,1:10:08:17,1:10:08:17,180,122717,122897,40,180,249.175,41,1,165
A319,ARRIVAL,27R,LM,1:10:06:24,1:10:09:35,1:10:09:35,1:10:09:35,191,122784,122975,40,191,250.875,40,0,166
A319,ARRIVAL,27R,LM,1:10:08:00,1:10:10:53,1:10:10:53,1:10:10:53,173,122880,123053,39,173,252.410256410256,40,1,167
A320,ARRIVAL,27R,LM,1:10:09:12,1:10:12:11,1:10:12:11,1:10:12:11,179,122952,123131,39,179,254.025641025641,40,1,168
B763,ARRIVAL,27R,H,1:10:09:57,1:10:13:27,1:10:13:27,1:10:13:27,210,122997,123207,39,210,255.564102564103,39,0,169
B772,ARRIVAL,27R,H,1:10:12:12,1:10:15:17,1:10:15:17,1:10:15:17,185,123132,123317,39,185,255.923076923077,40,1,170
B772,ARRIVAL,27R,H,1:10:13:06,1:10:17:07,1:10:17:07,1:10:17:07,241,123186,123427,39,241,258.820512820513,39,0,171
A320,ARRIVAL,27R,LM,1:10:14:53,1:10:19:20,1:10:19:20,1:10:19:20,267,123293,123560,39,267,260.717948717949,40,1,172
A319,ARRIVAL,27R,LM,1:10:16:23,1:10:20:38,1:10:20:38,1:10:20:38,255,123383,123638,39,255,262.282051282051,40,1,173
