Flow,Delay,AvDelay,Demand,Delayed Flights,n
39,349,427.820512820513,39,0,431
39,377,427.205128205128,38,-1,432
39,378,426.384615384615,39,0,433
39,407,425.589743589744,38,-1,434
38,374,426.078947368421,38,0,435
38,376,425.368421052632,38,0,436
38,381,424.973684210526,38,0,437
38,380,423.71052631579,37,-1,438
37,434,424.891891891892,37,0,439
38,474,419.131578947368,36,-2,440
38,444,415.763157894737,36,-2,441
38,442,413.315789473684,37,-1,442
37,437,412.540540540541,37,0,443
38,439,408.447368421053,37,-1,444
38,392,406.026315789474,38,0,445
38,427,404.736842105263,37,-1,446
38,422,401.894736842105,37,-1,447
38,420,399.473684210526,37,-1,448
38,422,396.842105263158,37,-1,449
38,390,393.763157894737,37,-1,450
39,526,387.51282051282,36,-3,451
40,505,375,37,-3,452
40,462,366.3,37,-3,453
40,470,358.15,37,-3,454
40,449,350,37,-3,455
39,520,347.461538461538,36,-3,456
40,568,330.775,35,-5,457
40,545,316.575,35,-5,458
40,552,303.25,35,-5,459
40,474,290.025,35,-5,460
39,411,285.307692307692,35,-4,461
39,431,274.769230769231,35,-4,462
39,443,263.717948717949,34,-5,463
38,367,259,35,-3,464
38,374,249.342105263158,35,-3,465
38,367,239.5,34,-4,466
38,375,229.842105263158,34,-4,467
39,354,214.538461538462,35,-4,468
38,327,210.868421052632,35,-3,469
39,325,197.205128205128,35,-4,470
38,345,193.842105263158,35,-3,471
39,347,180.564102564103,35,-4,472
39,347,172.461538461538,35,-4,473
39,361,163.871794871795,35,-4,474
39,333,154.794871794872,35,-4,475
39,310,147.230769230769,37,-2,476
39,330,139.512820512821,36,-3,477
39,346,131.564102564103,37,-2,478
39,351,122.871794871795,36,-3,479
40,363,111.5,36,-4,480
40,331,102.45,36,-4,481
39,347,96.5897435897436,36,-3,482
39,343,87.6923076923077,36,-3,483
40,319,78.55,37,-3,484
40,330,71.875,36,-4,485
39,320,65.2564102564103,36,-3,486
39,305,59.5897435897436,37,-2,487
39,312,53.025641025641,37,-2,488
39,228,46.6923076923077,37,-2,489
39,204,42.7179487179487,37,-2,490
39,209,38.6923076923077,37,-2,491
39,157,34.974358974359,39,0,492
39,136,32.4871794871795,38,-1,493
39,144,30.974358974359,38,-1,494
40,116,28.675,39,-1,495
40,84,26.5,39,-1,496
40,0,25.225,40,0,497
40,12,26.225,40,0,498
39,23,26.5897435897436,39,0,499
40,0,27.45,41,1,500
40,0,29.925,40,0,501
39,0,30.6923076923077,40,1,502
39,0,32.5641025641026,40,1,503
39,0,34.6410256410256,40,1,504
39,8,37.025641025641,40,1,505
39,0,39.5384615384615,41,2,506
39,5,42,41,2,507
40,0,46.275,41,1,508
40,0,49.275,42,2,509
40,21,52.175,41,1,510
40,31,55.45,41,1,511
39,12,56.0769230769231,40,1,512
39,7,59.1538461538462,40,1,513
39,38,62.2307692307692,39,0,514
39,9,64.5384615384615,41,2,515
39,20,67.025641025641,41,2,516
39,7,69.1794871794872,41,2,517
39,9,72.025641025641,40,1,518
39,10,74.6153846153846,39,0,519
38,1,76.3157894736842,39,1,520
39,0,79.1282051282051,41,2,521
39,25,81.8974358974359,40,1,522
39,40,84.1794871794872,40,1,523
39,52,85.8974358974359,40,1,524
40,99,87.575,40,0,525
41,49,89.5365853658537,41,0,526
41,65,91.2439024390244,41,0,527
41,73,92.7560975609756,41,0,528
41,47,94.3170731707317,42,1,529
41,64,96.8536585365854,41,0,530
41,60,98.4634146341464,42,1,531
41,77,100.585365853659,42,1,532
41,36,102.414634146341,42,1,533
41,47,104.804878048781,42,1,534
41,29,107.048780487805,42,1,535
41,33,109.756097560976,42,1,536
41,40,112,41,0,537
40,0,113.8,42,2,538
41,84,117.512195121951,41,0,539
41,99,119.048780487805,42,1,540
42,73,122.238095238095,42,0,541
42,81,124.595238095238,42,0,542
41,93,125.658536585366,42,1,543
41,106,127.853658536585,42,1,544
41,96,129.073170731707,42,1,545
41,99,130.780487804878,42,1,546
41,119,132.853658536585,42,1,547
41,120,134.536585365854,42,1,548
41,116,136,42,1,549
41,152,137.560975609756,42,1,550
41,132,139.829268292683,43,2,551
42,127,145.904761904762,43,1,552
42,128,148.880952380952,44,2,553
42,106,152.142857142857,44,2,554
42,104,156.309523809524,44,2,555
42,118,160.357142857143,44,2,556
42,110,163.47619047619,43,1,557
44,83,166.931818181818,45,1,558
44,104,168.909090909091,44,0,559
44,108,168.886363636364,43,-1,560
44,114,166.659090909091,43,-1,561
44,107,164.340909090909,42,-2,562
43,107,165.674418604651,42,-1,563
43,98,163.186046511628,42,-1,564
43,120,161.209302325581,42,-1,565
43,147,158.418604651163,42,-1,566
43,119,155,42,-1,567
43,127,152.813953488372,41,-2,568
43,137,150.674418604651,42,-1,569
43,151,148.46511627907,42,-1,570
43,130,145.441860465116,42,-1,571
43,147,143.372093023256,41,-2,572
